freq_ghz,amp,power_dbm,local_time
2.35,0.001,-53.91,2026-03-04 18:11:22.432
2.35,0.0011513953993264,-53.74,2026-03-04 18:11:22.980
2.35,0.0013257113655901,-53.68,2026-03-04 18:11:23.525
2.35,0.0015264179671752,-53.39,2026-03-04 18:11:24.075
2.35,0.0017575106248547,-53.28,2026-03-04 18:11:24.621
2.35,0.0020235896477251,-52.73,2026-03-04 18:11:25.168
2.35,0.0023299518105153,-52.42,2026-03-04 18:11:25.717
2.35,0.0026826957952797,-51.76,2026-03-04 18:11:26.346
2.35,0.0030888435964774,-51.31,2026-03-04 18:11:26.899
2.35,0.0035564803062231,-50.51,2026-03-04 18:11:27.498
2.35,0.0040949150623804,-49.77,2026-03-04 18:11:28.034
2.35,0.0047148663634573,-48.82,2026-03-04 18:11:28.571
2.35,0.0054286754393238,-47.83,2026-03-04 18:11:29.109
2.35,0.0062505519252739,-46.9,2026-03-04 18:11:29.645
2.35,0.0071968567300115,-45.86,2026-03-04 18:11:30.181
2.35,0.0082864277285468,-44.71,2026-03-04 18:11:30.766
2.35,0.0095409547634999,-43.55,2026-03-04 18:11:31.304
2.35,0.0109854114198755,-42.41,2026-03-04 18:11:31.841
2.35,0.0126485521685529,-41.22,2026-03-04 18:11:32.379
2.35,0.0145634847750124,-40.03,2026-03-04 18:11:32.917
2.35,0.01676832936811,-38.81,2026-03-04 18:11:33.453
2.35,0.0193069772888324,-37.63,2026-03-04 18:11:33.989
2.35,0.0222299648252619,-36.42,2026-03-04 18:11:34.527
2.35,0.0255954792269953,-35.17,2026-03-04 18:11:35.063
2.35,0.029470517025518,-33.96,2026-03-04 18:11:35.599
2.35,0.0339322177189532,-32.8,2026-03-04 18:11:36.138
2.35,0.0390693993705461,-31.59,2026-03-04 18:11:36.677
2.35,0.0449843266896944,-30.38,2026-03-04 18:11:37.214
2.35,0.0517947467923121,-29.12,2026-03-04 18:11:37.752
2.35,0.0596362331659464,-27.91,2026-03-04 18:11:38.299
2.35,0.06866488450043,-26.71,2026-03-04 18:11:38.846
2.35,0.0790604321090769,-25.48,2026-03-04 18:11:39.395
2.35,0.0910298177991521,-24.24,2026-03-04 18:11:39.942
2.35,0.1048113134154685,-23.02,2026-03-04 18:11:40.489
2.35,0.1206792640639329,-21.79,2026-03-04 18:11:41.038
2.35,0.1389495494373137,-20.57,2026-03-04 18:11:41.580
2.35,0.1599858719606057,-19.35,2026-03-04 18:11:42.126
2.35,0.1842069969326716,-18.12,2026-03-04 18:11:42.665
2.35,0.212095088792019,-16.9,2026-03-04 18:11:43.201
2.35,0.244205309454865,-15.68,2026-03-04 18:11:43.739
2.35,0.281176869797423,-14.45,2026-03-04 18:11:44.276
2.35,0.3237457542817643,-13.23,2026-03-04 18:11:44.815
2.35,0.3727593720314938,-12.0,2026-03-04 18:11:45.351
2.35,0.4291934260128778,-10.78,2026-03-04 18:11:45.891
2.35,0.4941713361323833,-9.55,2026-03-04 18:11:46.428
2.35,0.5689866029018293,-8.33,2026-03-04 18:11:46.965
2.35,0.655128556859551,-7.1,2026-03-04 18:11:47.503
2.35,0.7543120063354615,-5.88,2026-03-04 18:11:48.039
2.35,0.868511373751352,-4.65,2026-03-04 18:11:48.577
2.35,1.0,-3.44,2026-03-04 18:11:49.113
2.6,0.001,-53.85,2026-03-04 18:11:50.394
2.6,0.0011513953993264,-53.84,2026-03-04 18:11:50.932
2.6,0.0013257113655901,-53.56,2026-03-04 18:11:51.470
2.6,0.0015264179671752,-53.43,2026-03-04 18:11:52.006
2.6,0.0017575106248547,-53.08,2026-03-04 18:11:52.543
2.6,0.0020235896477251,-52.73,2026-03-04 18:11:53.081
2.6,0.0023299518105153,-52.45,2026-03-04 18:11:53.620
2.6,0.0026826957952797,-51.9,2026-03-04 18:11:54.167
2.6,0.0030888435964774,-51.14,2026-03-04 18:11:54.715
2.6,0.0035564803062231,-50.4,2026-03-04 18:11:55.257
2.6,0.0040949150623804,-49.66,2026-03-04 18:11:55.804
2.6,0.0047148663634573,-48.8,2026-03-04 18:11:56.363
2.6,0.0054286754393238,-47.89,2026-03-04 18:11:56.915
2.6,0.0062505519252739,-46.78,2026-03-04 18:11:57.457
2.6,0.0071968567300115,-45.79,2026-03-04 18:11:58.004
2.6,0.0082864277285468,-44.66,2026-03-04 18:11:58.541
2.6,0.0095409547634999,-43.45,2026-03-04 18:11:59.080
2.6,0.0109854114198755,-42.27,2026-03-04 18:11:59.616
2.6,0.0126485521685529,-41.09,2026-03-04 18:12:00.155
2.6,0.0145634847750124,-39.94,2026-03-04 18:12:00.693
2.6,0.01676832936811,-38.77,2026-03-04 18:12:01.231
2.6,0.0193069772888324,-37.53,2026-03-04 18:12:01.769
2.6,0.0222299648252619,-36.32,2026-03-04 18:12:02.307
2.6,0.0255954792269953,-35.11,2026-03-04 18:12:02.843
2.6,0.029470517025518,-33.9,2026-03-04 18:12:03.381
2.6,0.0339322177189532,-32.71,2026-03-04 18:12:03.917
2.6,0.0390693993705461,-31.48,2026-03-04 18:12:04.458
2.6,0.0449843266896944,-30.26,2026-03-04 18:12:04.995
2.6,0.0517947467923121,-29.04,2026-03-04 18:12:05.532
2.6,0.0596362331659464,-27.81,2026-03-04 18:12:06.070
2.6,0.06866488450043,-26.59,2026-03-04 18:12:06.609
2.6,0.0790604321090769,-25.38,2026-03-04 18:12:07.146
2.6,0.0910298177991521,-24.15,2026-03-04 18:12:07.686
2.6,0.1048113134154685,-22.93,2026-03-04 18:12:08.225
2.6,0.1206792640639329,-21.7,2026-03-04 18:12:08.761
2.6,0.1389495494373137,-20.48,2026-03-04 18:12:09.300
2.6,0.1599858719606057,-19.27,2026-03-04 18:12:09.835
2.6,0.1842069969326716,-18.04,2026-03-04 18:12:10.384
2.6,0.212095088792019,-16.81,2026-03-04 18:12:10.927
2.6,0.244205309454865,-15.59,2026-03-04 18:12:11.472
2.6,0.281176869797423,-14.37,2026-03-04 18:12:12.018
2.6,0.3237457542817643,-13.14,2026-03-04 18:12:12.566
2.6,0.3727593720314938,-11.92,2026-03-04 18:12:13.118
2.6,0.4291934260128778,-10.7,2026-03-04 18:12:13.661
